"id	title	link	snippet",,,,,,,,,,,,,,,,
"191	Presumed asymptomatic carrier transmission of COVID-19	https://jamanetwork.com/journals/jama/article-abstract/2762028	Methods| In January 2020", we enrolled a familial cluster of 5 patients with fever and respiratory symptoms who were admitted to the Fifth People's Hospital of Anyang, Anyang, China, and 1 asymptomatic family member. This study was approved by the local …,,,,,,,,,,,,
"
258	COVID-19 outbreak on the Diamond Princess cruise ship: estimating the epidemic potential and effectiveness of public health countermeasures	http://www.diva-portal.org/smash/record.jsf?pid=diva2:1410813	… 11-13",14 Increasingly, evidence is mounting that also mildly symptomatic or asymptomatic cases,,,,,,,,,,,,,,
can transmit the disease.15,16 … Radiology 2020: 200370. 15. Bai Y, Yao L, Wei T, et al. Presumed,,,,,,,,,,,,
Asymptomatic Carrier Transmission of COVID-19. JAMA 2020. 16 … ,,,,,,,,,,,,,,,,
"
259	[HTML][HTML] Transmission potential and severity of COVID-19 in South Korea	https://www.sciencedirect.com/science/article/pii/S1201971220301508	Objectives Since the first case of 2019 novel coronavirus (COVID-19) identified on Jan 20, 2020 in South Korea, the number of cases rapidly increased, resulting in 6,284 cases including 42 deaths as of March 6, 2020. To examine the growth rate of the outbreak, we …
260	Coronavirus Disease 2019 (COVID‐19): What we know?	https://onlinelibrary.wiley.com/doi/abs/10.1002/jmv.25766	… 25",26 . The major route of transmission of COVID-19 is droplet and close contact 26 . Whether …,,,,,,,,,,,,,,,
secretions 43,44 . During COVID-19 transmission events, RT-PCR has served as the primary,,,,,,,,,,,,,,
clinical laboratory diagnostic test 25,26,30,33 . Success of these tests are very … ,,,,,,,,,,,,,
"
261	Chest CT findings in coronavirus disease-19 (COVID-19): relationship to duration of infection	https://pubs.rsna.org/doi/abs/10.1148/radiol.2020200463	… coronavirus disease-19 (COVID-19) infection began in December 2019 in Wuhan", the capital,,,,,,,,,,,,,,,
of central China's Hubei province [1, 2]. While the virus likely has a zoonotic origin related to the,,,,,,,,,,,,,,,
city's Huanan Seafood Market, widespread human-to-human transmission has resulted … ,,,,,,,,,,,,,,,
"
262	[HTML][HTML] Transmission potential of the novel coronavirus (COVID-19) onboard the Diamond Princess Cruises Ship, 2020	https://www.sciencedirect.com/science/article/pii/S2468042720300063	An outbreak of COVID-19 developed aboard the Princess Cruises Ship during January-February 2020. Using mathematical modeling and time-series incidence data describing the trajectory of the outbreak among passengers and crew members, we characterize how the …
263	Evaluation of the effectiveness of surveillance and containment measures for the first 100 patients with COVID-19 in Singapore--January 2–February 29, 2020	https://stacks.cdc.gov/view/cdc/85888	… enhanced case detection and reduced transmission of highly infectious diseases such as",,,,,,,,,,,,,,,,
COVID-19 … across classes or schools have been implemented to limit possible disease,,,,,,,,,,,,,,,,
transmission … of asymptomatic patients in the community and their potential to transmit disease … ,,,,,,,,,,,,,,,,
"
264	Preparing for a COVID-19 pandemic: a review of operating room outbreak response measures in a large tertiary hospital in Singapore	https://link.springer.com/article/10.1007/s12630-020-01620-9	… As with most respiratory viruses", it is considered most contagious when the patient is symptomatic,,,,,,,,,,,,,,,
but SARS-CoV-2 has been transmitted by asymptomatic … Transmission within healthcare facilities,,,,,,,,,,,,,,,,
to healthcare workers has been documented: 3.8% of COVID-19 cases have … ,,,,,,,,,,,,,,,,
"
265	Investigation of three clusters of COVID-19 in Singapore: implications for surveillance and response measures	https://www.sciencedirect.com/science/article/pii/S0140673620305286	… of 425 close contacts identified by contact tracing developed COVID-19 (ie", most cases identified,,,,,,,,,,,,,,,
in the clusters did not transmit the SARS-CoV-2 virus to their close contacts), raising the hypothesis,,,,,,,,,,,,,,,
that a few spreading events can result in clusters of transmission, whereas for … ,,,,,,,,,,,,,,,
"
266	The role of absolute humidity on transmission rates of the COVID-19 outbreak	https://206.191.185.121/handle/1/42639515	A novel coronavirus (COVID-19) was identified in Wuhan, Hubei Province, China, in December 2019 and has caused over 40,000 cases worldwide to date. Previous studies have supported an epidemiological hypothesis that cold and dry (low absolute humidity) …
267	Initial investigation of transmission of COVID-19 among crew members during quarantine of a cruise ship—Yokohama, Japan, February 2020	https://stacks.cdc.gov/view/cdc/85919	An outbreak of coronavirus disease 2019 (COVID-19) among passengers and crew on a cruise ship led to quarantine of approximately 3,700 passengers and crew that began on February 3, 2020, and lasted for nearly 4 weeks at the Port of Yokohama, Japan (1). By …
268	[HTML][HTML] … of the index patient who caused tertiary transmission of Coronavirus disease 2019 in Korea: the application of lopinavir/ritonavir for the treatment of COVID-19 …	https://synapse.koreamed.org/DOIx.php?id=10.3346/jkms.2020.35.e79	Since mid-December of 2019, coronavirus disease 2019 (COVID-19) has been spreading from Wuhan, China. The confirmed COVID-19 patients in South Korea are those who came from or visited China. As secondary transmissions have occurred and the speed of …
269	[HTML][HTML] COVID-19 and the cardiovascular system	https://www.nature.com/articles/s41569-020-0360-5?fbclid=IwAR3w4wcTno9A798v1fuYbALPLUHU5dNsVNVFKDc6GW-6yED2mXcyxrJY7dc	… Compared with the SARS-CoV that caused an outbreak of SARS in 2003",,,,,,,,,,,,,,,,
SARS-CoV-2 has a stronger transmission capacity. The rapid increase in confirmed,,,,,,,,,,,,,,,,
cases makes the prevention and control of COVID-19 extremely serious … ,,,,,,,,,,,,,,,,
"
270	[HTML][HTML] What are the risks of COVID-19 infection in pregnant women?	https://www.thelancet.com/lancet/article/s0140-6736(20)30365-2	… 2004; 203: 740-743. Google Scholar. Thus", the risk of vertical transmission of COVID-19 might,,,,,,,,,,,,,,,
be as low as that of SARS-CoV-1. The present study by Chen and colleagues did not find any,,,,,,,,,,,,,,,,
evidence of the presence of SARS-CoV-2 viral particles in the products of conception or … ,,,,,,,,,,,,,,,,
"
271	[PDF][PDF] Rational use of personal protective equipment for coronavirus disease (COVID-19): interim guidance, 27 February 2020	https://apps.who.int/iris/bitstream/handle/10665/331215/WHO-2019-nCov-IPCPPE_use-2020.1-eng.pdf	… COVID-19 is a respiratory disease that is different from Ebola virus disease", which is transmitted,,,,,,,,,,,,,,,
through infected bodily fluids. Due to these differences in transmission, the PPE requirements,,,,,,,,,,,,,,,
for COVID-19 are different from those required for Ebola virus disease … ,,,,,,,,,,,,,,,,
"
272	[HTML][HTML] Pathological findings of COVID-19 associated with acute respiratory distress syndrome	https://www.thelancet.com/journals/lancet/article/PIIS2213-2600(20)30076-X/fulltext?fbclid=IwAR21jCbxVPMFr_8seoV0rN5BTn0xROg3Ha1Lna0VOnKnwIzYG7QbhFMEwqM	… A familial cluster of pneumonia associated with the 2019 novel coronavirus indicating",,,,,,,,,,,,,,,,
person-to-person transmission: a study of a family cluster … Our findings will facilitate understanding,,,,,,,,,,,,,,,,
of the pathogenesis of COVID-19 and improve clinical strategies against the disease … ,,,,,,,,,,,,,,,,
"
273	[HTML][HTML] SARS-CoV-2 and COVID-19: The most important research questions	https://cellandbioscience.biomedcentral.com/articles/10.1186/s13578-020-00404-4	… of the subjects have symptoms in a later phase", whether virus shedding from the subjects is indeed,,,,,,,,,,,,,,,
less robust, and how often they might transmit SARS-CoV-2 to … Bai Y, Yao L, Wei T, Tian F, Jin,,,,,,,,,,,
DY, Chen L, Wang M. Presumed asymptomatic carrier transmission of COVID-19 … ,,,,,,,,,,,,,,
"
274	Coronavirus (COVID-19) outbreak: what the department of radiology should know	https://www.sciencedirect.com/science/article/pii/S1546144020301502	… The novel COVID-19 is highly contagious and is believed to transmit mostly through respiratory",,,,,,,,,,,,,,,,
droplets, but there is uncertainty as to whether the … A thorough understanding of the routes of virus,,,,,,,,,,,,,,,
transmission will be essential for patients' and health care professionals' safety … ,,,,,,,,,,,,,,,,
"
275	First cases of coronavirus disease 2019 (COVID-19) in France: surveillance, investigations and control measures, January 2020	https://www.eurosurveillance.org/docserver/fulltext/eurosurveillance/25/6/eurosurv-25-6-4.pdf	… February", the contacts of the three first con- firmed cases of COVID-19 in France … europa.eu/en/,,,,,,,,,,,,,,,
publications-data/ risk-assessment-guidelines-infectious-diseases-transmitted- aircraft-ragida …,,,,,,,,,,,,,,,,
Early transmission dynamics in Wuhan, China, of novel coronavirus- infected pneumonia … ,,,,,,,,,,,,,,
"
276	COVID-19 and Italy: what next?	https://www.sciencedirect.com/science/article/pii/S0140673620306279	… In doing so", we cannot overlook the fact that the effect of travel restrictions on the spread of the,,,,,,,,,,,,,,,
COVID-19 outbreak and the … We also realise that there is heterogeneity in the transmission,,,,,,,,,,,,,,,,
dynamics between the city of Wuhan and elsewhere in the province, where the number of … ,,,,,,,,,,,,,,,
"
277	Critical care utilization for the COVID-19 outbreak in Lombardy, Italy: early experience and forecast during an emergency response	https://jamanetwork.com/journals/jama/article-abstract/2763188	… John EL Wong", MBBS; Yee Sin Leo, MBBS, MPH; Chorh Chuan Tan, MBBS, PhD. Research,,,,,,,,,,,
Letter. Presumed Asymptomatic Carrier Transmission of COVID-19 … Presumed asymptomatic,,,,,,,,,,,,,,,,
carrier transmission of COVID-19. JAMA. Published February 21, 2020 … ,,,,,,,,,,,,,,,
"
278	[HTML][HTML] COVID-19: a critical care perspective informed by lessons learnt from other viral epidemics	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7119083/	… origins from civets and camels", respectively [4] , [5] . Although it is uncertain how COVID-19,,,,,,,,,,,,,,
transmission from animals to humans occurred, epidemiological studies suggested an,,,,,,,,,,,,,,,
intermediary wild animal host sold in the Huanan Seafood Wholesale Market [6] . Currently, while … ,,,,,,,,,,,,,,,
"
279	MFM Guidance for COVID-19	https://www.sciencedirect.com/science/article/pii/S2589933320300367	… to 24 reduce the public health burden of COVID-19 transmission throughout the general",,,,,,,,,,,,,,,,
population. Box 25 1 … frequency 120 of testing in setting of additional risks related to,,,,,,,,,,,,,,,,
COVID-19 exposure and transmission. Red text in 121 COVID … ,,,,,,,,,,,,,,,,
"
280	Supporting the health care workforce during the COVID-19 global epidemic	https://jamanetwork.com/journals/jama/article-abstract/2763136	… Despite recognition that transmission occurs mostly via symptomatic individuals", there are,,,,,,,,,,,,,,,
reports of asymptomatic individuals who transmitted the disease to multiple family members …,,,,,,,,,,,,,,,,
Presumed asymptomatic carrier transmission of COVID-19. JAMA … ,,,,,,,,,,,,,,,,
"
281	A conceptual model for the coronavirus disease 2019 (COVID-19) outbreak in Wuhan, China with individual reaction and governmental action	https://www.ijidonline.com/article/S1201-9712(20)30117-X/abstract	… In a recent study ( Wu and McGoogan", 2020: Wu Z. McGoogan JM. Characteristics of and important,,,,,,,,,,,,,,,
lessons from the Coronavirus disease 2019 (COVID-19) outbreak in China: summary of a report,,,,,,,,,,,,,,,,
of 72,314 cases … We adopt the transmission rate function formulated in He et al … ,,,,,,,,,,,,,,,
"
282	Characteristics of COVID-19 infection in Beijing	https://www.sciencedirect.com/science/article/pii/S0163445320301018	… not seek health care or visit hospital and cannot be found in the special period", and will spread,,,,,,,,,,,,,,,
to the other close contacts.15, 16 Therefore, to identify and control the non-pneumonia and,,,,,,,,,,,,,,
asymptomatic cases are the important measures to prevent transmission on the COVID-19 … ,,,,,,,,,,,,,,,,
"
283	[HTML][HTML] COVID-19: a potential public health problem for homeless populations	https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(20)30053-0/fulltext	… is probable that coronavirus disease (COVID-19) will be transmitted to people … people experiencing",,,,,,,,,,,,,,,,
homelessness in becoming infected, needing care, and transmitting COVID-19 cannot be … If cities,,,,,,,,,,,,,,
